ts_unix,nid,lat_deg,lon_deg,alt_m
1755748124.464,124,-34.361942700,150.914323600,21.760
1755748124.662,124,-34.361942700,150.914323600,21.760
1755748124.863,124,-34.361942500,150.914323600,21.820
1755748125.065,124,-34.361942400,150.914323400,21.830
1755748125.261,124,-34.361942300,150.914323500,21.880
1755748125.461,124,-34.361942300,150.914323600,21.900
1755748125.663,124,-34.361942400,150.914323600,21.940
1755748125.862,124,-34.361942300,150.914323500,22.010
1755748126.069,124,-34.361942200,150.914323400,21.910
1755748126.262,124,-34.361942200,150.914323600,21.950
1755748126.461,124,-34.361942200,150.914323900,21.910
1755748126.661,124,-34.361942000,150.914323800,21.910
1755748126.859,124,-34.361941800,150.914323600,21.930
1755748127.067,124,-34.361941800,150.914323500,21.950
1755748127.261,124,-34.361941900,150.914323600,21.930
1755748127.462,124,-34.361941900,150.914323800,21.930
1755748127.660,124,-34.361941800,150.914324000,22.030
1755748127.862,124,-34.361941700,150.914324000,22.100
1755748128.066,124,-34.361941700,150.914324000,22.090
1755748128.259,124,-34.361941700,150.914324100,22.200
1755748128.458,124,-34.361941800,150.914324000,22.190
1755748128.665,124,-34.361941700,150.914323800,22.160
1755748128.864,124,-34.361941600,150.914323700,22.110
1755748129.070,124,-34.361941500,150.914323900,22.100
1755748129.266,124,-34.361941600,150.914324100,22.150
1755748129.463,124,-34.361941500,150.914324100,22.190
1755748129.665,124,-34.361941300,150.914323900,22.270
1755748129.867,124,-34.361941200,150.914323600,22.200
1755748130.071,124,-34.361941000,150.914323400,22.160
1755748130.264,124,-34.361941000,150.914323300,22.060
1755748130.466,124,-34.361940900,150.914323400,22.140
1755748130.666,124,-34.361941000,150.914323600,22.080
1755748130.863,124,-34.361941000,150.914323500,22.070
1755748131.073,124,-34.361940800,150.914323400,22.110
1755748131.260,124,-34.361940700,150.914323400,22.180
1755748131.464,124,-34.361940700,150.914323600,22.170
1755748131.664,124,-34.361940700,150.914323900,22.100
1755748131.864,124,-34.361940600,150.914324100,22.090
1755748132.065,124,-34.361940500,150.914324300,22.170
1755748132.264,124,-34.361940500,150.914324600,22.230
1755748132.463,124,-34.361940400,150.914324800,22.320
1755748132.663,124,-34.361940400,150.914324600,22.310
1755748132.864,124,-34.361940300,150.914324600,22.350
1755748133.065,124,-34.361940200,150.914324700,22.340
1755748133.262,124,-34.361940200,150.914324700,22.310
1755748133.462,124,-34.361940100,150.914324700,22.320
1755748133.662,124,-34.361940100,150.914324900,22.320
1755748133.863,124,-34.361940100,150.914324900,22.270
1755748134.071,124,-34.361940000,150.914324800,22.370
1755748134.262,124,-34.361939900,150.914324800,22.410
1755748134.461,124,-34.361939800,150.914324800,22.420
1755748134.661,124,-34.361939700,150.914324900,22.470
1755748134.858,124,-34.361939900,150.914324900,22.440
1755748135.067,124,-34.361940100,150.914325000,22.420
1755748135.261,124,-34.361940300,150.914325200,22.380
1755748135.460,124,-34.361940300,150.914325100,22.330
1755748135.660,124,-34.361940300,150.914325100,22.280
1755748135.862,124,-34.361940400,150.914325300,22.280
1755748136.066,124,-34.361940500,150.914325400,22.340
1755748136.260,124,-34.361940600,150.914325400,22.340
1755748136.461,124,-34.361940600,150.914325200,22.360
1755748136.659,124,-34.361940600,150.914325100,22.310
1755748136.859,124,-34.361940500,150.914325200,22.320
1755748137.072,124,-34.361940600,150.914325000,22.310
1755748137.268,124,-34.361940700,150.914325000,22.340
1755748137.464,124,-34.361941000,150.914325000,22.280
1755748137.667,124,-34.361941100,150.914325000,22.290
1755748137.867,124,-34.361941100,150.914325200,22.280
1755748138.073,124,-34.361941300,150.914325300,22.260
1755748138.267,124,-34.361941500,150.914325200,22.360
1755748138.466,124,-34.361941600,150.914324900,22.450
1755748138.664,124,-34.361941700,150.914324000,22.740
1755748138.866,124,-34.361942200,150.914323400,22.610
1755748139.074,124,-34.361942100,150.914323600,22.640
1755748139.262,124,-34.361942200,150.914324000,22.690
1755748139.466,124,-34.361942500,150.914324000,22.650
1755748139.666,124,-34.361942400,150.914323800,22.640
1755748139.865,124,-34.361942400,150.914323700,22.650
1755748140.074,124,-34.361942500,150.914323900,22.790
1755748140.266,124,-34.361942800,150.914324100,22.840
1755748140.466,124,-34.361943000,150.914324300,22.820
1755748140.666,124,-34.361943100,150.914324400,22.840
1755748140.866,124,-34.361943000,150.914324600,22.850
1755748141.068,124,-34.361943100,150.914324800,22.880
1755748141.265,124,-34.361943200,150.914324800,22.840
1755748141.464,124,-34.361943300,150.914324600,22.790
1755748141.663,124,-34.361943300,150.914324600,22.790
1755748141.863,124,-34.361943400,150.914324800,22.780
1755748142.070,124,-34.361943800,150.914325200,22.790
1755748142.265,124,-34.361944300,150.914325500,22.740
1755748142.466,124,-34.361944500,150.914325500,22.760
1755748142.664,124,-34.361944500,150.914325400,22.740
1755748142.860,124,-34.361944400,150.914325500,22.740
1755748143.074,124,-34.361944500,150.914325700,22.810
1755748143.265,124,-34.361944700,150.914325700,22.840
1755748143.464,124,-34.361944900,150.914325600,22.810
1755748143.665,124,-34.361944900,150.914325600,22.850
1755748143.865,124,-34.361945100,150.914325600,22.840
1755748144.071,124,-34.361945100,150.914325600,22.880
1755748144.266,124,-34.361945200,150.914325500,22.880
1755748144.464,124,-34.361945500,150.914325500,22.820
1755748144.660,124,-34.361945600,150.914325300,22.740
1755748144.864,124,-34.361945600,150.914325100,22.760
1755748145.071,124,-34.361945600,150.914325100,22.780
1755748145.263,124,-34.361945800,150.914325100,22.750
1755748145.463,124,-34.361946000,150.914325000,22.690
1755748145.664,124,-34.361946100,150.914325000,22.770
1755748145.863,124,-34.361946100,150.914324900,22.690
1755748146.070,124,-34.361946200,150.914324700,22.710
