ts_unix,nid,lat_deg,lon_deg,alt_m,sats_used,status,mode,sub_mode,pdop,speed_mps
1755755516.264,124,-34.362041700,150.914460200,-2.430,30,3,0,0,0.00,nan
1755755516.462,124,-34.362041900,150.914460500,-2.460,30,3,0,0,0.00,nan
1755755516.665,124,-34.362041800,150.914460300,-2.390,29,3,0,0,0.00,nan
1755755516.868,124,-34.362041800,150.914460100,-2.350,30,3,0,0,0.00,nan
1755755517.080,124,-34.362041700,150.914460200,-2.380,30,3,0,0,0.00,nan
1755755517.268,124,-34.362041600,150.914459900,-2.340,30,3,0,0,0.00,nan
1755755517.467,124,-34.362041500,150.914459700,-2.350,30,3,0,0,0.00,nan
1755755517.669,124,-34.362041500,150.914459500,-2.380,28,3,0,0,0.00,nan
1755755517.868,124,-34.362041600,150.914459300,-2.360,30,3,0,0,0.00,nan
1755755518.076,124,-34.362041800,150.914459300,-2.350,30,3,0,0,0.00,nan
1755755518.267,124,-34.362041900,150.914459300,-2.380,30,3,0,0,0.00,nan
1755755518.468,124,-34.362041800,150.914459200,-2.390,29,3,0,0,0.00,nan
1755755518.668,124,-34.362041700,150.914459000,-2.340,29,3,0,0,0.00,nan
1755755518.869,124,-34.362041600,150.914459000,-2.360,30,3,0,0,0.00,nan
1755755519.078,124,-34.362041600,150.914458800,-2.320,29,3,0,0,0.00,nan
1755755519.268,124,-34.362041700,150.914459300,-2.450,30,3,0,0,0.00,nan
1755755519.470,124,-34.362041800,150.914459600,-2.480,30,3,0,0,0.00,nan
1755755519.670,124,-34.362041800,150.914459600,-2.480,30,3,0,0,0.00,nan
1755755519.869,124,-34.362041800,150.914459600,-2.490,29,3,0,0,0.00,nan
1755755520.071,124,-34.362041800,150.914459500,-2.460,29,3,0,0,0.00,nan
1755755520.270,124,-34.362041700,150.914459400,-2.410,30,3,0,0,0.00,nan
1755755520.469,124,-34.362041700,150.914459600,-2.440,30,3,0,0,0.00,nan
1755755520.670,124,-34.362041500,150.914459300,-2.400,29,3,0,0,0.00,nan
1755755520.869,124,-34.362041500,150.914459400,-2.470,30,3,0,0,0.00,nan
1755755521.073,124,-34.362041500,150.914459200,-2.460,29,3,0,0,0.00,nan
1755755521.269,124,-34.362041400,150.914459200,-2.490,29,3,0,0,0.00,nan
1755755521.470,124,-34.362041400,150.914459200,-2.510,29,3,0,0,0.00,nan
1755755521.669,124,-34.362041300,150.914459200,-2.510,27,3,0,0,0.00,nan
1755755521.867,124,-34.362041400,150.914459400,-2.520,29,3,0,0,0.00,nan
1755755522.078,124,-34.362041500,150.914459600,-2.550,29,3,0,0,0.00,nan
1755755522.269,124,-34.362041800,150.914460200,-2.660,30,3,0,0,0.00,nan
1755755522.471,124,-34.362042000,150.914460600,-2.720,30,3,0,0,0.00,nan
1755755522.669,124,-34.362042100,150.914460700,-2.760,31,3,0,0,0.00,nan
1755755522.870,124,-34.362042100,150.914460900,-2.820,30,3,0,0,0.00,nan
1755755523.080,124,-34.362042000,150.914460900,-2.810,30,3,0,0,0.00,nan
1755755523.269,124,-34.362042200,150.914461100,-2.870,27,3,0,0,0.00,nan
1755755523.468,124,-34.362042300,150.914461400,-2.940,30,3,0,0,0.00,nan
1755755523.667,124,-34.362042400,150.914461500,-2.950,28,3,0,0,0.00,nan
1755755523.868,124,-34.362042700,150.914462000,-3.040,30,3,0,0,0.00,nan
1755755524.077,124,-34.362042700,150.914461900,-3.030,28,3,0,0,0.00,nan
1755755524.270,124,-34.362042700,150.914461700,-3.020,28,3,0,0,0.00,nan
1755755524.467,124,-34.362042800,150.914461900,-3.080,29,3,0,0,0.00,nan
1755755524.668,124,-34.362042900,150.914462000,-3.110,30,3,0,0,0.00,nan
1755755524.868,124,-34.362042900,150.914461900,-3.060,29,3,0,0,0.00,nan
1755755525.076,124,-34.362043100,150.914462300,-3.070,29,3,0,0,0.00,nan
1755755525.271,124,-34.362043100,150.914462200,-3.060,28,3,0,0,0.00,nan
1755755525.472,124,-34.362043100,150.914462100,-3.090,28,3,0,0,0.00,nan
1755755525.675,124,-34.362043100,150.914461800,-3.080,28,3,0,0,0.00,nan
1755755525.874,124,-34.362043300,150.914462000,-3.140,29,3,0,0,0.00,nan
1755755526.079,124,-34.362043400,150.914461900,-3.130,29,3,0,0,0.00,nan
1755755526.264,124,-34.362043300,150.914462000,-3.130,29,3,0,0,0.00,nan
1755755526.468,124,-34.362043200,150.914462200,-3.190,29,3,0,0,0.00,nan
1755755526.668,124,-34.362043200,150.914462000,-3.170,28,3,0,0,0.00,nan
1755755526.868,124,-34.362043400,150.914462400,-3.240,30,3,0,0,0.00,nan
1755755527.075,124,-34.362043400,150.914462300,-3.250,29,3,0,0,0.00,nan
1755755527.268,124,-34.362043400,150.914462100,-3.230,29,3,0,0,0.00,nan
1755755527.468,124,-34.362043500,150.914462200,-3.250,30,3,0,0,0.00,nan
1755755527.667,124,-34.362043500,150.914461900,-3.210,29,3,0,0,0.00,nan
1755755527.868,124,-34.362043700,150.914462200,-3.230,28,3,0,0,0.00,nan
1755755528.073,124,-34.362043700,150.914462400,-3.230,29,3,0,0,0.00,nan
1755755528.267,124,-34.362043900,150.914462300,-3.220,29,3,0,0,0.00,nan
1755755528.466,124,-34.362044100,150.914462600,-3.270,30,3,0,0,0.00,nan
1755755528.667,124,-34.362044200,150.914462800,-3.310,29,3,0,0,0.00,nan
1755755528.865,124,-34.362044000,150.914462500,-3.230,29,3,0,0,0.00,nan
1755755529.074,124,-34.362044000,150.914462300,-3.210,30,3,0,0,0.00,nan
1755755529.268,124,-34.362044000,150.914461900,-3.190,30,3,0,0,0.00,nan
1755755529.467,124,-34.362044100,150.914461900,-3.210,29,3,0,0,0.00,nan
1755755529.669,124,-34.362044100,150.914462300,-3.240,29,3,0,0,0.00,nan
1755755529.864,124,-34.362044000,150.914462200,-3.220,30,3,0,0,0.00,nan
1755755530.075,124,-34.362043900,150.914461800,-3.170,29,3,0,0,0.00,nan
1755755530.267,124,-34.362043800,150.914461600,-3.150,29,3,0,0,0.00,nan
1755755530.465,124,-34.362043800,150.914461500,-3.140,29,3,0,0,0.00,nan
1755755530.665,124,-34.362043800,150.914461300,-3.140,31,3,0,0,0.00,nan
1755755530.868,124,-34.362043700,150.914461100,-3.120,30,3,0,0,0.00,nan
1755755531.081,124,-34.362043600,150.914460800,-3.100,30,3,0,0,0.00,nan
1755755531.272,124,-34.362043400,150.914460300,-3.040,30,3,0,0,0.00,nan
1755755531.471,124,-34.362043400,150.914460100,-3.030,29,3,0,0,0.00,nan
1755755531.671,124,-34.362043500,150.914460500,-3.090,30,3,0,0,0.00,nan
1755755531.868,124,-34.362043500,150.914460700,-3.100,28,3,0,0,0.00,nan
1755755532.078,124,-34.362043500,150.914460400,-3.070,30,3,0,0,0.00,nan
1755755532.270,124,-34.362043300,150.914459700,-2.970,31,3,0,0,0.00,nan
1755755532.468,124,-34.362043200,150.914459700,-2.970,30,3,0,0,0.00,nan
1755755532.671,124,-34.362043200,150.914460100,-3.040,29,3,0,0,0.00,nan
1755755532.872,124,-34.362043300,150.914460000,-3.040,28,3,0,0,0.00,nan
1755755533.081,124,-34.362043200,150.914460000,-3.050,29,3,0,0,0.00,nan
1755755533.274,124,-34.362043100,150.914459800,-3.020,30,3,0,0,0.00,nan
1755755533.470,124,-34.362043100,150.914459800,-3.020,31,3,0,0,0.00,nan
1755755533.671,124,-34.362043100,150.914459900,-3.030,31,3,0,0,0.00,nan
1755755533.872,124,-34.362043000,150.914459700,-3.010,30,3,0,0,0.00,nan
1755755534.080,124,-34.362043000,150.914459600,-3.040,30,3,0,0,0.00,nan
1755755534.264,124,-34.362043000,150.914459500,-3.020,29,3,0,0,0.00,nan
1755755534.469,124,-34.362043100,150.914459600,-3.030,28,3,0,0,0.00,nan
1755755534.668,124,-34.362043100,150.914459600,-3.000,29,3,0,0,0.00,nan
1755755534.867,124,-34.362042900,150.914459600,-2.990,27,3,0,0,0.00,nan
1755755535.077,124,-34.362042800,150.914459500,-2.960,27,3,0,0,0.00,nan
1755755535.267,124,-34.362042900,150.914459300,-2.930,30,3,0,0,0.00,nan
1755755535.466,124,-34.362042900,150.914459200,-2.910,30,3,0,0,0.00,nan
1755755535.670,124,-34.362043000,150.914459300,-2.930,29,3,0,0,0.00,nan
1755755535.870,124,-34.362043100,150.914459500,-2.950,30,3,0,0,0.00,nan
1755755536.068,124,-34.362043100,150.914459600,-2.940,29,3,0,0,0.00,nan
