ts_unix,nid,sats_used,sats_visible,pdop,hdop,vdop,gdop
1755755516.262,124,0,0,0.00,0.66,1.02,0.00
1755755516.460,124,0,0,0.00,0.66,1.02,0.00
1755755516.662,124,0,0,0.00,0.66,1.02,0.00
1755755516.863,124,0,0,0.00,0.64,0.99,0.00
1755755517.075,124,0,0,0.00,0.64,0.99,0.00
1755755517.263,124,0,0,0.00,0.70,1.01,0.00
1755755517.462,124,0,0,0.00,0.70,1.01,0.00
1755755517.664,124,0,0,0.00,0.70,1.01,0.00
1755755517.863,124,0,0,0.00,0.70,1.01,0.00
1755755518.070,124,0,0,0.00,0.70,1.01,0.00
1755755518.262,124,0,0,0.00,0.70,1.01,0.00
1755755518.463,124,0,0,0.00,0.70,1.01,0.00
1755755518.663,124,0,0,0.00,0.70,1.01,0.00
1755755518.864,124,0,0,0.00,0.64,0.99,0.00
1755755519.071,124,0,0,0.00,0.64,0.99,0.00
1755755519.263,124,0,0,0.00,0.70,1.01,0.00
1755755519.465,124,0,0,0.00,0.70,1.01,0.00
1755755519.665,124,0,0,0.00,0.64,0.99,0.00
1755755519.864,124,0,0,0.00,0.64,0.99,0.00
1755755520.066,124,0,0,0.00,0.70,1.01,0.00
1755755520.265,124,0,0,0.00,0.70,1.01,0.00
1755755520.464,124,0,0,0.00,0.70,1.04,0.00
1755755520.665,124,0,0,0.00,0.70,1.04,0.00
1755755520.864,124,0,0,0.00,0.70,1.04,0.00
1755755521.070,124,0,0,0.00,0.70,1.04,0.00
1755755521.264,124,0,0,0.00,0.70,1.04,0.00
1755755521.465,124,0,0,0.00,0.70,1.04,0.00
1755755521.664,124,0,0,0.00,0.70,1.04,0.00
1755755521.862,124,0,0,0.00,0.70,1.04,0.00
1755755522.071,124,0,0,0.00,0.70,1.04,0.00
1755755522.264,124,0,0,0.00,0.70,1.01,0.00
1755755522.465,124,0,0,0.00,0.70,1.01,0.00
1755755522.664,124,0,0,0.00,0.70,1.01,0.00
1755755522.865,124,0,0,0.00,0.70,1.01,0.00
1755755523.075,124,0,0,0.00,0.70,1.04,0.00
1755755523.264,124,0,0,0.00,0.70,1.04,0.00
1755755523.464,124,0,0,0.00,0.70,1.04,0.00
1755755523.662,124,0,0,0.00,0.70,1.04,0.00
1755755523.863,124,0,0,0.00,0.70,1.04,0.00
1755755524.071,124,0,0,0.00,0.70,1.04,0.00
1755755524.265,124,0,0,0.00,0.70,1.04,0.00
1755755524.461,124,0,0,0.00,0.70,1.04,0.00
1755755524.663,124,0,0,0.00,0.70,1.04,0.00
1755755524.863,124,0,0,0.00,0.70,1.04,0.00
1755755525.070,124,0,0,0.00,0.70,1.04,0.00
1755755525.266,124,0,0,0.00,0.70,1.04,0.00
1755755525.467,124,0,0,0.00,0.74,1.04,0.00
1755755525.670,124,0,0,0.00,0.70,1.04,0.00
1755755525.869,124,0,0,0.00,0.70,1.04,0.00
1755755526.077,124,0,0,0.00,0.70,1.04,0.00
1755755526.262,124,0,0,0.00,0.70,1.04,0.00
1755755526.465,124,0,0,0.00,0.70,1.04,0.00
1755755526.665,124,0,0,0.00,0.70,1.04,0.00
1755755526.865,124,0,0,0.00,0.70,1.04,0.00
1755755527.072,124,0,0,0.00,0.70,1.04,0.00
1755755527.265,124,0,0,0.00,0.70,1.04,0.00
1755755527.466,124,0,0,0.00,0.70,1.04,0.00
1755755527.664,124,0,0,0.00,0.70,1.04,0.00
1755755527.866,124,0,0,0.00,0.70,1.04,0.00
1755755528.071,124,0,0,0.00,0.74,1.04,0.00
1755755528.265,124,0,0,0.00,0.70,1.04,0.00
1755755528.463,124,0,0,0.00,0.70,1.04,0.00
1755755528.665,124,0,0,0.00,0.70,1.04,0.00
1755755528.862,124,0,0,0.00,0.70,1.04,0.00
1755755529.071,124,0,0,0.00,0.70,1.04,0.00
1755755529.266,124,0,0,0.00,0.70,1.04,0.00
1755755529.465,124,0,0,0.00,0.70,1.04,0.00
1755755529.667,124,0,0,0.00,0.70,1.04,0.00
1755755529.861,124,0,0,0.00,0.70,1.04,0.00
1755755530.072,124,0,0,0.00,0.70,1.04,0.00
1755755530.265,124,0,0,0.00,0.70,1.04,0.00
1755755530.463,124,0,0,0.00,0.70,1.04,0.00
1755755530.663,124,0,0,0.00,0.70,1.02,0.00
1755755530.865,124,0,0,0.00,0.70,1.02,0.00
1755755531.076,124,0,0,0.00,0.74,1.03,0.00
1755755531.267,124,0,0,0.00,0.70,1.02,0.00
1755755531.466,124,0,0,0.00,0.70,1.02,0.00
1755755531.666,124,0,0,0.00,0.70,1.02,0.00
1755755531.863,124,0,0,0.00,0.70,1.02,0.00
1755755532.074,124,0,0,0.00,0.70,1.02,0.00
1755755532.265,124,0,0,0.00,0.70,1.02,0.00
1755755532.464,124,0,0,0.00,0.70,1.02,0.00
1755755532.666,124,0,0,0.00,0.70,1.04,0.00
1755755532.866,124,0,0,0.00,0.70,1.04,0.00
1755755533.076,124,0,0,0.00,0.70,1.04,0.00
1755755533.268,124,0,0,0.00,0.70,1.04,0.00
1755755533.465,124,0,0,0.00,0.70,1.02,0.00
1755755533.666,124,0,0,0.00,0.70,1.02,0.00
1755755533.866,124,0,0,0.00,0.70,1.02,0.00
1755755534.075,124,0,0,0.00,0.74,1.03,0.00
1755755534.260,124,0,0,0.00,0.74,1.04,0.00
1755755534.464,124,0,0,0.00,0.74,1.04,0.00
1755755534.663,124,0,0,0.00,0.74,1.04,0.00
1755755534.862,124,0,0,0.00,0.74,1.04,0.00
1755755535.070,124,0,0,0.00,0.74,1.04,0.00
1755755535.262,124,0,0,0.00,0.70,1.04,0.00
1755755535.461,124,0,0,0.00,0.70,1.04,0.00
1755755535.665,124,0,0,0.00,0.70,1.04,0.00
1755755535.865,124,0,0,0.00,0.70,1.04,0.00
1755755536.065,124,0,0,0.00,0.70,1.04,0.00
1755755536.264,124,0,0,0.00,0.70,1.04,0.00
1755755536.466,124,0,0,0.00,0.70,1.04,0.00
1755755536.665,124,0,0,0.00,0.70,1.04,0.00
1755755536.864,124,0,0,0.00,0.70,1.04,0.00
1755755537.072,124,0,0,0.00,0.70,1.04,0.00
1755755537.264,124,0,0,0.00,0.70,1.04,0.00
1755755537.464,124,0,0,0.00,0.70,1.04,0.00
1755755537.664,124,0,0,0.00,0.70,1.04,0.00
1755755537.859,124,0,0,0.00,0.70,1.04,0.00
1755755538.072,124,0,0,0.00,0.70,1.04,0.00
1755755538.264,124,0,0,0.00,0.70,1.04,0.00
1755755538.463,124,0,0,0.00,0.70,1.01,0.00
1755755538.665,124,0,0,0.00,0.70,1.01,0.00
1755755538.864,124,0,0,0.00,0.70,1.01,0.00
1755755539.072,124,0,0,0.00,0.70,1.01,0.00
1755755539.265,124,0,0,0.00,0.70,1.01,0.00
1755755539.464,124,0,0,0.00,0.70,1.01,0.00
1755755539.662,124,0,0,0.00,0.70,1.01,0.00
1755755539.865,124,0,0,0.00,0.70,1.01,0.00
1755755540.072,124,0,0,0.00,0.70,1.01,0.00
1755755540.265,124,0,0,0.00,0.70,1.01,0.00
1755755540.464,124,0,0,0.00,0.70,1.01,0.00
1755755540.665,124,0,0,0.00,0.70,1.01,0.00
1755755540.865,124,0,0,0.00,0.70,1.01,0.00
1755755541.075,124,0,0,0.00,0.73,1.01,0.00
1755755541.266,124,0,0,0.00,0.73,1.01,0.00
1755755541.464,124,0,0,0.00,0.73,1.01,0.00
1755755541.668,124,0,0,0.00,0.73,1.01,0.00
1755755541.866,124,0,0,0.00,0.73,1.01,0.00
